Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi
Volkswagen,PoloHighline1.2L (P),2015,Bangalore,115000,petrol,manual,532000,9078.0
Kia,SonetHTX 1.0 iMT,2020,Bangalore,22000,petrol,manual,889000,15139.0
Maruti,Alto K10VXi,2018,Bangalore,37000,petrol,manual,380000,6471.0
Hyundai,VenueSX 1.0 Turbo iMT,2022,Bangalore,24500,petrol,manual,991000,16876.0
Maruti,Wagon R 1.2ZXI,2023,Bangalore,9000,petrol,manual,594000,10115.0
Mahindra,ScorpioS6,2016,Bangalore,115500,diesel,manual,795000,13538.0
Hyundai,Grand i10Asta 1.2 Kappa VTVT,2015,Bangalore,36000,petrol,manual,463000,8427.0
Mahindra,XUV500W7,2019,Bangalore,81000,diesel,manual,1049000,18934.0
Tata,NanoTwist XT Petrol,2015,Bangalore,20500,petrol,manual,180000,3621.0
Hyundai,Elite i20Asta 1.2,2018,Bangalore,78500,petrol,manual,635000,
Maruti,ErtigaVDI SHVS,2016,Bangalore,102500,diesel,manual,658000,11205.0
Hyundai,Creta1.6 SX AT VTVT,2019,Bangalore,60500,petrol,automatic,1068000,18365.0
Mercedes,E-ClassE200 Expression,2018,Bangalore,40000,petrol,automatic,3650000,62776.0
Hyundai,i10Magna 1.2 Petrol,2012,Bangalore,47000,petrol,manual,282000,10725.0
Ford,EndeavourTitanium 2.2 4x2 MT,2019,Bangalore,37000,diesel,manual,2600000,44716.0
Hyundai,VenueSX Plus 1.0 Turbo DCT,2019,Bangalore,95500,petrol,automatic,835000,14219.0
Hyundai,VenueSX 1.0 Turbo iMT,2022,Bangalore,39500,petrol,manual,963000,16399.0
Hyundai,Grand i10 NiosAsta 1.2 Kappa VTVT CNG,2022,Bangalore,10000,cng,manual,800000,13623.0
Hyundai,Grand i10 NiosAsta 1.2 Kappa,2023,Bangalore,16000,petrol,manual,768000,13078.0
Skoda,KushaqStyle 1.0L TSI MT,2023,Bangalore,25000,petrol,manual,1441000,24783.0
Tata,NexonXZ Plus (O),2021,Bangalore,46500,petrol,manual,953999,16246.0
Volkswagen,PoloHighline Plus 1.0 (P) 16 Alloy,2019,Bangalore,114500,petrol,manual,629000,10042.0
Tata,HarrierXZ Plus Dual Tone,2022,Bangalore,33000,diesel,manual,1730999,29769.0
Mahindra,XUV 300W8 (O) AMT Petrol,2023,Bangalore,10000,petrol,automatic,1241000,21343.0
Hyundai,Grand i10Magna 1.2 Kappa VTVT,2019,Bangalore,123000,petrol,manual,447000,7612.0
Maruti,CiazAlpha AT Petrol,2021,Bangalore,79500,petrol,automatic,832000,14168.0
Maruti,CelerioZXi Plus,2023,Bangalore,30500,petrol,manual,617000,10507.0
Kia,CarensLuxury 1.5 Diesel iMT 7 STR,2023,Bangalore,18500,diesel,manual,1667000,28677.0
Skoda,Rapid NewAmbition AT,2021,Bangalore,113000,petrol,automatic,770000,13112.0
Maruti,Vitara BrezzaVDi,2018,Bangalore,118500,diesel,manual,679000,11562.0
Hyundai,VenueSX 1.2 MT Knight Edition,2022,Bangalore,33500,petrol,manual,921000,15684.0
Mahindra,XUV 300W8 (O) Petrol,2021,Bangalore,113000,petrol,manual,873000,14866.0
Honda,JazzSelect,2012,Bangalore,72000,petrol,manual,339000,12087.0
Maruti,CiazZXI+,2016,Bangalore,92000,petrol,manual,548000,9332.0
Toyota,Urban Cruiser HyryderV Neodrive AWD,2022,Bangalore,24500,petrol,manual,1551000,26668.0
Hyundai,VenueSX Plus 1.0 Turbo DCT,2022,Bangalore,35500,petrol,automatic,1082000,18608.0
Renault,KwidRXL,2019,Bangalore,51500,petrol,manual,353000,6011.0
Skoda,KushaqStyle 1.0L TSI MT,2022,Bangalore,22500,petrol,manual,1366000,23500.0
